Reading data...Done
self.train_x.shape (10, 2623, 2772)
self.train_y.shape (10, 2623)
self.train_x_set[0].shape (10, 114, 2772)
self.train_y_set[0].shape (10, 114)
self.test_x.shape (10, 374, 2772)
self.test_y.shape (10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 107, train loss: 0.02, train accuracy: 100.00%, valid loss: 2.88, valid accuracy: 71.51%, test loss: 2.61, test accuracy: 71.15%
Epochs 108, train loss: 0.02, train accuracy: 100.00%, valid loss: 2.94, valid accuracy: 71.72%, test loss: 2.69, test accuracy: 71.02%
Epochs 109, train loss: 0.02, train accuracy: 100.00%, valid loss: 3.01, valid accuracy: 71.30%, test loss: 2.75, test accuracy: 69.79%
Epochs 110, train loss: 0.02, train accuracy: 100.00%, valid loss: 3.06, valid accuracy: 71.12%, test loss: 2.73, test accuracy: 71.28%
Epochs 111, train loss: 0.02, train accuracy: 100.00%, valid loss: 3.07, valid accuracy: 71.32%, test loss: 2.81, test accuracy: 69.87%
Epochs 112, train loss: 0.02, train accuracy: 100.00%, valid loss: 3.09, valid accuracy: 71.07%, test loss: 2.77, test accuracy: 71.34%
Epochs 113, train loss: 0.02, train accuracy: 100.00%, valid loss: 3.08, valid accuracy: 71.42%, test loss: 2.88, test accuracy: 68.98%
Epochs 114, train loss: 0.02, train accuracy: 100.00%, valid loss: 3.11, valid accuracy: 71.28%, test loss: 2.79, test accuracy: 71.63%
Epochs 115, train loss: 0.02, train accuracy: 100.00%, valid loss: 3.11, valid accuracy: 71.43%, test loss: 2.81, test accuracy: 71.74%
Epochs 116, train loss: 0.02, train accuracy: 100.00%, valid loss: 3.18, valid accuracy: 71.30%, test loss: 2.89, test accuracy: 70.91%
Epochs 117, train loss: 0.02, train accuracy: 100.00%, valid loss: 3.23, valid accuracy: 71.12%, test loss: 2.86, test accuracy: 71.95%
Epochs 118, train loss: 0.02, train accuracy: 100.00%, valid loss: 3.18, valid accuracy: 71.30%, test loss: 2.87, test accuracy: 71.66%
Epochs 119, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.26, valid accuracy: 71.60%, test loss: 2.91, test accuracy: 71.68%
Epochs 120, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.25, valid accuracy: 71.23%, test loss: 3.00, test accuracy: 70.05%
Epochs 121, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.30, valid accuracy: 70.92%, test loss: 2.98, test accuracy: 71.31%
Epochs 122, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.32, valid accuracy: 71.12%, test loss: 3.03, test accuracy: 70.43%
Epochs 123, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.37, valid accuracy: 71.09%, test loss: 3.08, test accuracy: 70.78%
Epochs 124, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.40, valid accuracy: 71.21%, test loss: 3.12, test accuracy: 70.48%
Epochs 125, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.37, valid accuracy: 72.03%, test loss: 3.03, test accuracy: 72.11%
Epochs 126, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.42, valid accuracy: 71.96%, test loss: 3.04, test accuracy: 72.06%
Epochs 127, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.54, valid accuracy: 70.73%, test loss: 3.16, test accuracy: 70.78%
Epochs 128, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.46, valid accuracy: 71.59%, test loss: 3.09, test accuracy: 72.49%
Epochs 129, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.49, valid accuracy: 71.66%, test loss: 3.14, test accuracy: 72.14%
Epochs 130, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.54, valid accuracy: 71.48%, test loss: 3.19, test accuracy: 72.01%
Epochs 131, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.54, valid accuracy: 71.75%, test loss: 3.18, test accuracy: 72.14%
Epochs 132, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.62, valid accuracy: 71.27%, test loss: 3.23, test accuracy: 72.06%
Epochs 133, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.68, valid accuracy: 71.32%, test loss: 3.45, test accuracy: 68.80%
Epochs 134, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.67, valid accuracy: 71.26%, test loss: 3.28, test accuracy: 71.66%
Epochs 135, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.68, valid accuracy: 71.32%, test loss: 3.40, test accuracy: 70.59%
Epochs 136, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.74, valid accuracy: 71.51%, test loss: 3.39, test accuracy: 71.20%
Epochs 137, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.69, valid accuracy: 71.76%, test loss: 3.45, test accuracy: 70.61%
Epochs 138, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.68, valid accuracy: 71.75%, test loss: 3.45, test accuracy: 71.47%
Epochs 139, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.73, valid accuracy: 71.75%, test loss: 3.45, test accuracy: 71.79%
Epochs 140, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.87, valid accuracy: 71.01%, test loss: 3.43, test accuracy: 72.30%
Epochs 141, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.90, valid accuracy: 71.21%, test loss: 3.48, test accuracy: 71.76%
Epochs 142, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.89, valid accuracy: 71.15%, test loss: 3.50, test accuracy: 71.74%
Epochs 143, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.81, valid accuracy: 71.54%, test loss: 3.47, test accuracy: 72.67%
Epochs 144, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.94, valid accuracy: 71.52%, test loss: 3.55, test accuracy: 71.42%
Epochs 145, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.96, valid accuracy: 71.42%, test loss: 3.54, test accuracy: 72.06%
Epochs 146, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.99, valid accuracy: 71.23%, test loss: 3.61, test accuracy: 71.52%
Epochs 147, train loss: 0.01, train accuracy: 100.00%, valid loss: 4.01, valid accuracy: 71.30%, test loss: 3.66, test accuracy: 70.70%
Epochs 148, train loss: 0.01, train accuracy: 100.00%, valid loss: 3.99, valid accuracy: 71.75%, test loss: 3.65, test accuracy: 71.84%
Epochs 149, train loss: 0.01, train accuracy: 100.00%, valid loss: 4.02, valid accuracy: 71.62%, test loss: 3.65, test accuracy: 71.90%
Epochs 150, train loss: 0.01, train accuracy: 100.00%, valid loss: 4.10, valid accuracy: 71.34%, test loss: 3.66, test accuracy: 72.78%
Epochs 151, train loss: 0.01, train accuracy: 100.00%, valid loss: 4.06, valid accuracy: 71.87%, test loss: 3.69, test accuracy: 72.75%
Epochs 152, train loss: 0.01, train accuracy: 100.00%, valid loss: 4.10, valid accuracy: 71.90%, test loss: 3.66, test accuracy: 73.10%
Epochs 153, train loss: 0.01, train accuracy: 100.00%, valid loss: 4.10, valid accuracy: 71.90%, test loss: 3.83, test accuracy: 71.50%
Epochs 154, train loss: 0.01, train accuracy: 100.00%, valid loss: 4.13, valid accuracy: 72.11%, test loss: 3.89, test accuracy: 71.42%
Epochs 155, train loss: 0.01, train accuracy: 100.00%, valid loss: 4.16, valid accuracy: 71.96%, test loss: 3.77, test accuracy: 72.75%
Epochs 156, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.08, valid accuracy: 72.52%, test loss: 3.81, test accuracy: 72.27%
Epochs 157, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.28, valid accuracy: 71.62%, test loss: 3.81, test accuracy: 73.34%
Epochs 158, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.25, valid accuracy: 71.55%, test loss: 3.86, test accuracy: 72.65%
Epochs 159, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.34, valid accuracy: 71.23%, test loss: 3.89, test accuracy: 72.51%
Epochs 160, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.32, valid accuracy: 71.54%, test loss: 3.96, test accuracy: 72.43%
Epochs 161, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.42, valid accuracy: 71.38%, test loss: 4.01, test accuracy: 71.31%
